ZEBRONICS Pro Series Y Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 2S T...,"₹27,990",4,Intel Core i5 Processor (11th Gen),16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
Infinix INBook X2 Plus Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) XL25 Thin and...,"₹25,990",4.2,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 Inch) Display
Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,"₹90,990",4.5,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
Infinix Inbook Y1 Plus Intel Core i5 10th Gen 1035G1 - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and...,"₹25,990",4.4,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Ho...,"₹48,990",4.3,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
ASUS X1500EA-EJ3379WS Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1500EA-EJ3379WS Thin...,"₹33,200",4.1,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
ASUS Vivobook S15 OLED Intel EVO H-Series Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11...,"₹84,990",5,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
Apple 2022 MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXW3HN/A,"₹99,990",4.7,Apple M2 Processor,8 GB Unified Memory RAM,Mac OS Operating System,256 GB SSD,34.54 cm (13.6 Inch) Display
ASUS Vivobook 15X (2023) Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) K3504VAB-NJ3...,"₹39,990",4.1,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
MSI Modern 14 Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C11M-030IN T...,"₹36,990",4.2,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display
